,image,emotion
0,facial-expressions_2868588k.jpg,negative
1,facial-expressions_2868585k.jpg,positive
2,facial-expressions_2868584k.jpg,negative
3,facial-expressions_2868582k.jpg,negative
4,Aaron_Eckhart_0001.jpg,neutral
5,Aaron_Guiel_0001.jpg,positive
6,Aaron_Patterson_0001.jpg,neutral
7,Aaron_Peirsol_0001.jpg,positive
8,Aaron_Peirsol_0002.jpg,positive
9,Aaron_Peirsol_0003.jpg,positive
10,Aaron_Peirsol_0004.jpg,neutral
11,Aaron_Pena_0001.jpg,neutral
12,Aaron_Sorkin_0001.jpg,positive
13,Aaron_Sorkin_0002.jpg,positive
14,Aaron_Tippin_0001.jpg,neutral
15,Abbas_Kiarostami_0001.jpg,neutral
16,Abba_Eban_0001.jpg,positive
17,Abdel_Aziz_Al-Hakim_0001.jpg,neutral
18,Abdel_Madi_Shabneh_0001.jpg,neutral
19,Abdel_Nasser_Assidi_0001.jpg,neutral
20,Abdel_Nasser_Assidi_0002.jpg,neutral
21,Abdoulaye_Wade_0001.jpg,neutral
22,Abdoulaye_Wade_0002.jpg,positive
23,Abdoulaye_Wade_0003.jpg,neutral
24,Abdoulaye_Wade_0004.jpg,positive
25,Abdulaziz_Kamilov_0001.jpg,neutral
26,Abdullah_0001.jpg,neutral
27,Abdullah_0002.jpg,neutral
28,Abdullah_0003.jpg,neutral
29,Abdullah_0004.jpg,neutral
30,Abdullah_Ahmad_Badawi_0001.jpg,positive
31,Abdullah_al-Attiyah_0003.jpg,neutral
32,Abdullah_Gul_0001.jpg,neutral
33,Abdullah_Gul_0002.jpg,positive
34,Abdullah_Gul_0003.jpg,positive
35,Abdullah_Gul_0004.jpg,positive
36,Abdullah_Gul_0005.jpg,positive
37,Abdullah_Gul_0006.jpg,neutral
38,Abdullah_Gul_0007.jpg,neutral
39,Abdullah_Gul_0008.jpg,neutral
40,Abdullah_Gul_0009.jpg,neutral
41,Abdullah_Gul_0010.jpg,neutral
42,Abdullah_Gul_0011.jpg,neutral
43,Abdullah_Gul_0012.jpg,positive
44,Abdullah_Gul_0013.jpg,neutral
45,Abdullah_Gul_0014.jpg,neutral
46,Abdullah_Gul_0016.jpg,neutral
47,Abdullah_Gul_0017.jpg,neutral
48,Abdullah_Gul_0018.jpg,neutral
49,Abdullah_Gul_0019.jpg,neutral
50,Abdullah_Nasseef_0001.jpg,positive
51,Abdullatif_Sener_0001.jpg,neutral
52,Abdullatif_Sener_0002.jpg,neutral
53,Abdul_Rahman_0001.jpg,neutral
54,Abel_Aguilar_0001.jpg,neutral
55,Abel_Pacheco_0001.jpg,neutral
56,Abel_Pacheco_0002.jpg,neutral
57,Abel_Pacheco_0003.jpg,neutral
58,Abel_Pacheco_0004.jpg,neutral
59,Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg,positive
60,Abid_Hamid_Mahmud_Al-Tikriti_0003.jpg,neutral
61,Abner_Martinez_0001.jpg,positive
62,Abraham_Foxman_0001.jpg,neutral
63,Aby_Har-Even_0001.jpg,neutral
64,Adam_Ant_0001.jpg,neutral
65,Adam_Freier_0001.jpg,neutral
66,Adam_Herbert_0001.jpg,neutral
67,Adam_Kennedy_0001.jpg,neutral
68,Adam_Mair_0001.jpg,positive
69,Adam_Rich_0001.jpg,neutral
70,Adam_Sandler_0001.jpg,neutral
71,Adam_Sandler_0002.jpg,neutral
72,Adam_Sandler_0003.jpg,neutral
73,Adam_Sandler_0004.jpg,positive
74,Adam_Scott_0001.jpg,neutral
75,Adam_Scott_0002.jpg,neutral
76,Adelina_Avila_0001.jpg,neutral
77,Adel_Al-Jubeir_0001.jpg,neutral
78,Adel_Al-Jubeir_0002.jpg,neutral
79,Adel_Al-Jubeir_0003.jpg,neutral
80,Adisai_Bodharamik_0001.jpg,neutral
81,Adolfo_Aguilar_Zinser_0001.jpg,neutral
82,Adolfo_Aguilar_Zinser_0002.jpg,neutral
83,Adolfo_Aguilar_Zinser_0003.jpg,neutral
84,Adolfo_Rodriguez_Saa_0001.jpg,positive
85,Adolfo_Rodriguez_Saa_0002.jpg,positive
86,Adoor_Gopalakarishnan_0001.jpg,neutral
87,Adriana_Lima_0001.jpg,neutral
88,Adriana_Perez_Navarro_0001.jpg,positive
89,Adrianna_Zuzic_0001.jpg,neutral
90,Adrian_Annus_0001.jpg,neutral
91,Adrian_Fernandez_0001.jpg,neutral
92,Adrian_McPherson_0001.jpg,neutral
93,Adrian_McPherson_0002.jpg,neutral
94,Adrian_Murrell_0001.jpg,neutral
95,Adrian_Nastase_0001.jpg,neutral
96,Adrian_Nastase_0002.jpg,neutral
97,Adrien_Brody_0001.jpg,positive
98,Adrien_Brody_0002.jpg,neutral
99,Adrien_Brody_0003.jpg,positive
100,Adrien_Brody_0004.jpg,positive
101,Adrien_Brody_0005.jpg,neutral
102,Adrien_Brody_0006.jpg,positive
103,Adrien_Brody_0007.jpg,positive
104,Adrien_Brody_0008.jpg,neutral
105,Adrien_Brody_0009.jpg,positive
106,Adrien_Brody_0010.jpg,positive
107,Adrien_Brody_0011.jpg,positive
108,Adrien_Brody_0012.jpg,neutral
109,Afton_Smith_0001.jpg,positive
110,Agbani_Darego_0001.jpg,neutral
111,Agnelo_Queiroz_0001.jpg,neutral
112,Agnes_Bruckner_0001.jpg,neutral
113,Ahmad_Jbarah_0001.jpg,neutral
114,Ahmad_Masood_0001.jpg,neutral
115,Ahmad_Masood_0002.jpg,neutral
116,Ahmed_Ahmed_0001.jpg,positive
117,Ahmed_Chalabi_0001.jpg,neutral
118,Ahmed_Chalabi_0002.jpg,neutral
119,Ahmed_Chalabi_0003.jpg,neutral
